feature,mean_abs_shap
dr001,0.057748057
macro_week__中国:平均批发价:猪肉,0.042654775
gc001,0.03952097
gc007,0.027823187
omo_withdraw,0.027580295
lpr_1y,0.023105172
omo_inject,0.022043297
macro_week__中国:票房收入:电影,0.021210194
macro_week__期货结算价(连续):布伦特原油,0.02020023
macro_week__中国:水泥价格指数,0.018408144
spread_fr007_r007,0.016673919
lpr_5y,0.015106165
r007,0.013733134
macro_week__中国:30大中城市:成交面积:商品房,0.012263056
spread_r007_dr007,0.012083046
macro_day__净融资额(亿元),0.012065588
omo_net,0.011811963
dr007,0.0087882895
fr007,0.008164955
macro_day__总发行量(亿元),0.005842438
spread_gc007_r007,0.0055152876
macro_week__中国:江浙地区:开工率:涤纶长丝:下游织机,0.005271656
r001,0.005259568
macro_day__发行只数,0.004774585
"macro_week__中国:日均销量(当周,厂家零售):乘用车",0.004688284
macro_week__中国:日均产量:粗钢,0.0038688334
macro_day__总偿还量(亿元),0.0034591535
macro_week__中国:开工率:汽车轮胎(半钢胎),0.0030861648
macro_week__中国:开工率:汽车轮胎(全钢胎),0.0020377396
macro_day__到期偿还量(亿元),0.0019130559
macro_week__中国:开工率:石油沥青装置,0.0018607568
net_financing_total,0.0016930733
macro_week__唐山:高炉开工率,0.0015837101
macro_week__中国食用农产品价格指数,0.0014510106
macro_day__到期只数,0.0012586862
macro_week__中国:生产资料价格指数,0.001101764
macro_week__中国出口集装箱运价指数:综合指数,0.00045374286
macro_week__上海出口集装箱运价指数:综合指数,0.00037911674
macro_week__波罗的海货运指数,0.00037908173
macro_week__义乌中国小商品指数:总价格指数,3.8274695e-05
macro_day__赎回量(亿元),1.3019274e-05
macro_week__中国:100大中城市:成交土地占地面积:当周值,9.463583e-06
macro_day__现金要约只数,0.0
macro_day__赎回只数,0.0
macro_day__回售只数,0.0
macro_day__提前兑付只数,0.0
macro_day__提前兑付量(亿元),0.0
macro_day__回售量(亿元),0.0
macro_day__现金要约金额(亿元),0.0
