序号,起始日期,截止日期,总发行量(亿元),发行只数,总偿还量(亿元),净融资额(亿元),到期偿还量(亿元),到期只数,提前兑付量(亿元),提前兑付只数,回售量(亿元),回售只数,赎回量(亿元),赎回只数,现金要约金额(亿元),现金要约只数
59,2025-06-21,2025-06-21,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
60,2025-06-20,2025-06-20,2200.0,2,0.0,2200.0,0.0,0,0,0,0,0,0,0,0,0
61,2025-06-19,2025-06-19,470.0,5,2957.1,-2487.1,2957.1,3,0,0,0,0,0,0,0,0
62,2025-06-18,2025-06-18,2507.8,6,0.0,2507.8,0.0,0,0,0,0,0,0,0,0,0
63,2025-06-17,2025-06-17,400.0,5,0.0,400.0,0.0,0,0,0,0,0,0,0,0,0
64,2025-06-16,2025-06-16,350.0,5,0.0,350.0,0.0,0,0,0,0,0,0,0,0,0
65,2025-06-15,2025-06-15,0.0,0,2797.9,-2797.9,2797.9,1,0,0,0,0,0,0,0,0
66,2025-06-14,2025-06-14,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
67,2025-06-13,2025-06-13,3495.8,3,60.0,3435.8,60.0,1,0,0,0,0,0,0,0,0
68,2025-06-12,2025-06-12,540.0,6,1159.9,-619.9,1159.9,3,0,0,0,0,0,0,0,0
69,2025-06-11,2025-06-11,2977.6,7,0.0,2977.6,0.0,0,0,0,0,0,0,0,0,0
70,2025-06-10,2025-06-10,930.0,7,919.0,11.0,919.0,1,0,0,0,0,0,0,0,0
71,2025-06-09,2025-06-09,390.0,6,40.0,350.0,40.0,1,0,0,0,0,0,0,0,0
72,2025-06-08,2025-06-08,0.0,0,700.0,-700.0,700.0,1,0,0,0,0,0,0,0,0
73,2025-06-07,2025-06-07,0.0,0,1230.1,-1230.1,1230.1,1,0,0,0,0,0,0,0,0
74,2025-06-06,2025-06-06,1710.0,2,0.0,1710.0,0.0,0,0,0,0,0,0,0,0,0
75,2025-06-05,2025-06-05,640.0,8,751.5,-111.5,751.5,2,0,0,0,0,0,0,0,0
76,2025-06-04,2025-06-04,2616.8,9,0.0,2616.8,0.0,0,0,0,0,0,0,0,0,0
77,2025-06-03,2025-06-03,80.0,3,120.0,-40.0,120.0,1,0,0,0,0,0,0,0,0
78,2025-06-02,2025-06-02,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
79,2025-06-01,2025-06-01,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
80,2025-05-31,2025-05-31,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
81,2025-05-30,2025-05-30,0.0,0,360.0,-360.0,360.0,1,0,0,0,0,0,0,0,0
82,2025-05-29,2025-05-29,585.0,7,0.0,585.0,0.0,0,0,0,0,0,0,0,0,0
83,2025-05-28,2025-05-28,280.0,3,0.0,280.0,0.0,0,0,0,0,0,0,0,0,0
84,2025-05-27,2025-05-27,430.0,6,0.0,430.0,0.0,0,0,0,0,0,0,0,0,0
85,2025-05-26,2025-05-26,365.0,6,0.0,365.0,0.0,0,0,0,0,0,0,0,0,0
86,2025-05-25,2025-05-25,0.0,0,1991.1,-1991.1,1991.1,1,0,0,0,0,0,0,0,0
87,2025-05-24,2025-05-24,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
88,2025-05-23,2025-05-23,3927.0,4,0.0,3927.0,0.0,0,0,0,0,0,0,0,0,0
89,2025-05-22,2025-05-22,555.0,6,1152.0,-597.0,1152.0,2,0,0,0,0,0,0,0,0
90,2025-05-21,2025-05-21,1951.0,6,0.0,1951.0,0.0,0,0,0,0,0,0,0,0,0
91,2025-05-20,2025-05-20,390.0,5,0.0,390.0,0.0,0,0,0,0,0,0,0,0,0
92,2025-05-19,2025-05-19,375.0,5,0.0,375.0,0.0,0,0,0,0,0,0,0,0,0
93,2025-05-18,2025-05-18,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
94,2025-05-17,2025-05-17,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
95,2025-05-16,2025-05-16,2210.0,3,350.0,1860.0,350.0,1,0,0,0,0,0,0,0,0
96,2025-05-15,2025-05-15,630.0,7,1601.9,-971.9,1601.9,3,0,0,0,0,0,0,0,0
97,2025-05-14,2025-05-14,4014.9,8,0.0,4014.9,0.0,0,0,0,0,0,0,0,0,0
98,2025-05-13,2025-05-13,326.7,5,102.0,224.7,102.0,1,0,0,0,0,0,0,0,0
99,2025-05-12,2025-05-12,240.9,3,0.0,240.9,0.0,0,0,0,0,0,0,0,0,0
100,2025-05-11,2025-05-11,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
101,2025-05-10,2025-05-10,300.0,2,0.0,300.0,0.0,0,0,0,0,0,0,0,0,0
102,2025-05-09,2025-05-09,2610.0,5,1080.0,1530.0,1080.0,1,0,0,0,0,0,0,0,0
103,2025-05-08,2025-05-08,420.0,6,1970.2,-1550.2,1970.2,5,0,0,0,0,0,0,0,0
104,2025-05-07,2025-05-07,1305.2,6,0.0,1305.2,0.0,0,0,0,0,0,0,0,0,0
105,2025-05-06,2025-05-06,96.0,3,0.0,96.0,0.0,0,0,0,0,0,0,0,0,0
106,2025-05-05,2025-05-05,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
107,2025-05-04,2025-05-04,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
108,2025-05-03,2025-05-03,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
109,2025-05-02,2025-05-02,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
110,2025-05-01,2025-05-01,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
111,2025-04-30,2025-04-30,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
112,2025-04-29,2025-04-29,420.0,3,0.0,420.0,0.0,0,0,0,0,0,0,0,0,0
113,2025-04-28,2025-04-28,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
114,2025-04-27,2025-04-27,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
115,2025-04-26,2025-04-26,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
116,2025-04-25,2025-04-25,10.0,1,3928.3,-3918.3,3928.3,1,0,0,0,0,0,0,0,0
