feature,mean_abs_shap
lpr_1y,0.08704268
r007,0.04362591
macro_week__中国:水泥价格指数,0.025487756
gc001,0.02497506
macro_week__中国:30大中城市:成交面积:商品房,0.018977983
macro_week__期货结算价(连续):布伦特原油,0.017407527
omo_net,0.016109927
gc007,0.01519383
macro_week__中国:平均批发价:猪肉,0.015069557
macro_week__中国:票房收入:电影,0.014380893
omo_withdraw,0.011031818
dr007,0.011025295
fr007,0.009275512
dr001,0.009179944
spread_fr007_r007,0.0070483065
r001,0.0061865347
spread_r007_dr007,0.0052865637
macro_day__总发行量(亿元),0.0038294639
omo_inject,0.0035130703
spread_gc007_r007,0.0029370347
macro_week__中国:开工率:汽车轮胎(全钢胎),0.0028961906
macro_week__中国:江浙地区:开工率:涤纶长丝:下游织机,0.0026796903
macro_day__净融资额(亿元),0.0026777752
lpr_5y,0.0026131258
macro_day__总偿还量(亿元),0.0023891618
macro_day__发行只数,0.0021842646
macro_week__中国:开工率:汽车轮胎(半钢胎),0.0020369964
macro_week__上海出口集装箱运价指数:综合指数,0.0017470866
macro_week__中国:日均产量:粗钢,0.0017270969
"macro_week__中国:日均销量(当周,厂家零售):乘用车",0.0009813465
macro_week__唐山:高炉开工率,0.00097523036
macro_day__到期只数,0.0006307832
macro_week__波罗的海货运指数,0.0005197379
macro_week__中国:开工率:石油沥青装置,0.00051559065
macro_week__中国出口集装箱运价指数:综合指数,0.0004896466
macro_day__到期偿还量(亿元),0.0002880357
net_financing_total,0.00027062293
macro_week__中国食用农产品价格指数,0.00020972209
macro_week__中国:生产资料价格指数,0.0001208546
macro_week__义乌中国小商品指数:总价格指数,6.7162524e-05
macro_day__回售量(亿元),0.0
macro_day__现金要约只数,0.0
macro_day__赎回量(亿元),0.0
macro_day__赎回只数,0.0
macro_day__现金要约金额(亿元),0.0
macro_day__回售只数,0.0
macro_day__提前兑付量(亿元),0.0
macro_day__提前兑付只数,0.0
macro_week__中国:100大中城市:成交土地占地面积:当周值,0.0
