institution_name,category
保险公司,保险
其他,其他
其他产品类,其他
证券公司,券商
基金公司及产品,基金
货币市场基金,基金
理财子公司及理财类产品,理财子
农村金融机构,银行
城市商业银行,银行
外资银行,银行
大型商业银行/政策性银行,银行
股份制商业银行,银行
