feature,mean_abs_shap
omo_inject,0.1343223
macro_week__期货结算价(连续):布伦特原油,0.08939795
gc001,0.0790613
r007,0.06804875
omo_withdraw,0.0548303
macro_week__中国:平均批发价:猪肉,0.04542114
gc007,0.041827273
macro_day__总偿还量(亿元),0.03950603
macro_week__中国:水泥价格指数,0.036685076
spread_gc007_r007,0.03417884
fr007,0.031226046
dr001,0.029423792
macro_week__中国:30大中城市:成交面积:商品房,0.02347542
omo_net,0.020301282
macro_day__总发行量(亿元),0.019090967
macro_week__中国:票房收入:电影,0.017043563
dr007,0.01533973
spread_fr007_r007,0.014370415
macro_day__到期偿还量(亿元),0.012983017
macro_week__中国:日均产量:粗钢,0.011766881
r001,0.01069581
lpr_5y,0.009233804
macro_day__净融资额(亿元),0.008568683
macro_day__发行只数,0.007637922
spread_r007_dr007,0.0059387144
macro_week__中国:开工率:汽车轮胎(半钢胎),0.005726687
macro_week__唐山:高炉开工率,0.004727773
macro_week__中国:开工率:石油沥青装置,0.004113722
lpr_1y,0.0033643106
macro_day__到期只数,0.0027458922
macro_week__中国:开工率:汽车轮胎(全钢胎),0.0023643938
net_financing_total,0.002274798
macro_week__中国:江浙地区:开工率:涤纶长丝:下游织机,0.0022208518
macro_week__上海出口集装箱运价指数:综合指数,0.0020383205
macro_week__中国出口集装箱运价指数:综合指数,0.0020243537
macro_week__波罗的海货运指数,0.0013446053
macro_week__中国:生产资料价格指数,0.0013010436
"macro_week__中国:日均销量(当周,厂家零售):乘用车",0.0007038381
macro_week__中国:100大中城市:成交土地占地面积:当周值,0.0005870132
macro_week__中国食用农产品价格指数,0.00036818063
macro_week__义乌中国小商品指数:总价格指数,0.00025277707
macro_day__赎回量(亿元),1.8293045e-05
macro_day__现金要约只数,0.0
macro_day__赎回只数,0.0
macro_day__回售只数,0.0
macro_day__提前兑付只数,0.0
macro_day__提前兑付量(亿元),0.0
macro_day__回售量(亿元),0.0
macro_day__现金要约金额(亿元),0.0
